sentence1Text,sentence2Text
Scientific Consultations Under Endangered Species Act Restored,"Obama overturns Bush midnight rules on science , health care"
British climber dies in New Zealand fall,"On Friday , 36 - year - old Duncan Rait died after slipping and falling about 60m from a ridge near the Tasman Glacier ."
"AMD ( NYSE : AMD ) today announced it has signed a definitive agreement to acquire SeaMicro , a pioneer in energy - efficient , high - bandwidth microservers , for approximately $334 million , of which approximately $281 million will be paid in cash .",AMD Enters Server Business With Bold Acquisition
"After a witty intro by Siri herself , Apple CEO Tim Cook took the stage in San Francisco to welcome developers and announce new stuff .",New MacBook Air models officially unveiled with Ivy Bridge upgrade
"Fred LaRue , a close aide to former Attorney General John Mitchell and the first person to plead guilty in the Watergate scandal , died of natural causes .",Deep Throat suspect found dead in hotel
H-P announced Tuesday that it will buy the outsourcing services company for $ 13.9 billion .,Earlier this month Hewlett-Packard unveiled a bid of nearly $ 14 billion bid to purchase EDS .
"The teenager was shot and killed by police in Athens eight days ago , triggering violent protests which have spread across the country .","They gripped rocks and stones , looking ready for a fight ."
"Esther Williams , Olympic swimmer turned actress and pinup girl , dies at 91","Williams died peacefully in her sleep Thursday in Beverly Hills , family spokesman Harlan Boll announced ."
"After telling People in October that she did n't `` need to do any of that anymore , '' `` American Pie '' actress and former travel reporter Tara Reid checked into Promises Treatment Center on Friday for an unspecified problem .",The specific reason behind her checking in to the facility is currently unknown to the public .
Two climbers killed in Mt Cook falls,One Australian and one English climber have fallen to their deaths in New Zealand .
2 leaders of polygamist group arrested in Canada,"RCMP Sgt. Tim Shields and Attorney-General Wally Oppal announced Wednesday that the RCMP arrested two Bountiful residents , Winston K. Blackmore , 52 , and James Oler , 44 , on charges of polygamy ."
"Dr Mark Vinar , 43 , is presumed dead after disappearing off Zurbriggens Ridge , on Mt Cook , on Thursday .",A colleague has paid tribute to a Perth doctor feared dead after a fall from a mountain in New Zealand .
"But after being arrested for suspicion DUI earlier this week , he has bigger worries than his role in the Chargers ' offense .","Police apprehended Jackson at about 2:30 a.m. and booked him for the misdemeanour before his release , making for a long night with a playoff looming on Sunday at Pittsburgh against the Steelers"
It 's interesting that Obama was so intent on recruiting him that he met with the `` House Call '' host for 2 1/2 hours on Nov. 25 .,"U.S. president-elect Barack Obama has asked neurosurgeon Sanjay Gupta , CNN 's chief medical correspondent , to serve as the country 's surgeon general , CNN reported Tuesday ."
"Yesterday , the police explained that officers shot and killed a 16 - year - old Kimani Gray in Brooklyn because he allegedly pointed a gun at the cops .",Brooklyn neighborhood on police lockdown following protest
Relatively unknown actor Matt Smith was named as the next face of TV 's most famous time traveller .,"On Saturday , the 26-year-old was handed the keys to the Tardis when he was unveiled as the 11th Doctor Who , replacing David Tennant , who steps down later this year ."
"In Saturday's semifinals , Creighton ( 25 - 7 ) will play No . 5 seed Indiana State , which defeated Evansville 51 - 50 on Friday .","2013 MVC Tournament results and bracket : Creighton , Wichita St . move on"
"With a first - half free throw , junior forward Doug McDermott scored his 11th point of the Bluejays ’ Valley tournament opener and passed Rodney Buford to become the school ’ s all - time scoring leader with 2 , 117 points .",McDermott Sets Scoring Record as Men's Basketball Tops Drake
`` She checked in herself - it was her decision . '',"After telling People in October that she did n't `` need to do any of that anymore , '' `` American Pie '' actress and former travel reporter Tara Reid checked into Promises Treatment Center on Friday for an unspecified problem ."
"Her death sparked outrage , and even prompted the community to come together to get guns off Albany streets .","Last May , a stray bullet killed 10-year-old Kathina Thomas as she played on the front steps of her home on Albany 's First Street"
"A 4 . 6 - magnitude earthquake rattled Northern California overnight Thursday , shaking residents from San Francisco to north of Sacramento .",The quake occurred at 2 : 09 a . m . about 14 miles north - northeast of Healdsburg and had a depth of 1 . 2 miles .
"Smith , 26 , who played a young political researcher in the show , will become the biggest star of all after winning the role of the 11th Doctor .",The guy is relatively unknown and the skeptics wondered if the right person was chosen .
"Industry analysts contacted by eWEEK generally say they believe that Hewlett-Packard 's forthcoming $ 13.9 billion acquisition of Electronic Data Systems ? announced officially on May 13 is a good move for both companies , although there will be the usual integration snafus over vendor neutrality issues , business lines , culture shock and layoffs .",Earlier this month Hewlett-Packard unveiled a bid of nearly $ 14 billion bid to purchase EDS .
Herald : Sox Make Offer To Teixeira ( 8 Years ? ),"The Red Sox have made an eight - year offer to Teixeira in excess of $160 million , but sources close to the negotiations say it is less than the $184 million reported by Boston WCVB sportscaster Mike Lynch , who first reported that the meeting would take place ."
The beautiful party girl Tara Reid is taking the time this season and checking herself into rehab .,"Reid checked herself in on Tuesday , December 9 , 2008 ."
"A strong earthquake struck off Indonesia's Aceh province on Tuesday , damaging houses and injuring at least five people .","Five dead , dozens injured in Indonesia quake"
New MacBook Air models officially unveiled with Ivy Bridge upgrade,Apple has chosen WWDC week to announce an update to its MacBook Air line .
"Three or four robbers burst into the store on ritzy Avenue Montaigne near the Champs-Elysees late Thursday afternoon and stole watches , rings and necklaces .","A savvy band of jewel thieves , armed with guns and some posing as women , have struck in the heart of the city 's golden triangle of luxury shops , stealing more than e85 million worth of diamonds , rings and watches from a posh Harry Winston boutique ."
Eight crews fought the blaze which broke out in the early hours of Sunday morning .,Crews from Devon and Somerset Fire and Rescue have tackled a blaze at a supermarket in a Somerset town .
Ott ’ s Thoughts : Creighton Returns to MVC Semis With Win Over Drake,Doug McDermott scored 23 points to become Creighton's all - time scoring leader and the top - seeded Bluejays defeated Drake 65 - 53 on Friday in the quarterfinals of the Missouri Valley Conference tournament .
"Police intervened after more than 100 people joined together for a candlelit vigil in the East Flatbush neighborhood in Brooklyn , New York , where 16 - year - old Kimani Gray was shot multiple times by police on Saturday .",Brooklyn neighborhood on police lockdown following protest
